               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069646,            0.055233,            0.032878,             0.70599,             0.28764,             0.28541,             0.17142,            0.041479,            0.032687,            0.017491,           0.0033318,           0.0033318,            0.070014
                   1,            0.057758,             0.05022,            0.020021,             0.76095,             0.32132,              0.3589,             0.22586,            0.038803,              0.0308,            0.014527,           0.0053455,           0.0053455,            0.038694
                   2,            0.054408,            0.048859,            0.017326,             0.77847,             0.37628,             0.41561,               0.271,            0.037173,            0.030064,            0.012982,           0.0060391,           0.0060391,           0.0060541
                   3,            0.050437,            0.046807,            0.015175,             0.71556,             0.40685,             0.46561,             0.30732,             0.03526,            0.028489,            0.011464,             0.00406,             0.00406,             0.00406
                   4,            0.049174,             0.04574,            0.014134,             0.61285,             0.47314,             0.48881,             0.32881,            0.034317,            0.027997,            0.011125,             0.00406,             0.00406,             0.00406
