               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10023,            0.067653,            0.049468,             0.70152,            0.056814,            0.040107,            0.019241,            0.075179,            0.050045,            0.035315,           0.0033318,           0.0033318,            0.070014
                   1,            0.078387,            0.062155,            0.029959,             0.53673,             0.17201,             0.14032,            0.069109,            0.057071,            0.041071,            0.024226,           0.0053455,           0.0053455,            0.038694
                   2,             0.06888,            0.058014,            0.025211,             0.60546,             0.23534,             0.20944,             0.11205,             0.04944,            0.036807,            0.019684,           0.0060391,           0.0060391,           0.0060541
                   3,            0.061819,            0.054679,            0.021668,             0.67024,             0.26488,             0.26975,             0.15399,            0.045106,            0.034281,            0.017044,             0.00406,             0.00406,             0.00406
                   4,              0.0593,            0.053093,            0.019794,             0.78314,             0.28523,             0.31894,             0.18492,            0.043103,            0.033111,             0.01519,             0.00406,             0.00406,             0.00406
